emisor,emisor_key,fecha,E_market,sigma_E,DP,dp_metodo,dp_proxy,num_acciones,close,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio,activo_total,ingreso_neto,eps,V_A,sigma_A,DD,PD
Banco de Bogota,BANCOBOGOTA,2017-03-31,10829292418.635939,0.20013388380505717,95440514205.75,proxy_0.75_total,True,331249.13333333336,32692.2890625,,,127254018941.0,16651450459.0,143905469400.0,660842021.0,1995.0,101615117797.55977,0.021328602742959765,5.2728114677540905,6.717477944875646e-08
Banco de Bogota,BANCOBOGOTA,2017-06-30,28235624259.758335,0.19418243471530716,96459282470.25,proxy_0.75_total,True,805679.9720028715,35045.70703125,,,128612376627.0,17398335294.0,146010711921.0,1122312201.0,1393.0,119990532010.01288,0.045694124219091595,5.848626969824919,2.4782361346050057e-09
Banco de Bogota,BANCOBOGOTA,2017-09-30,14024315235.12851,0.1981192248377306,94168869468.0,proxy_0.75_total,True,361167.5887961859,38830.4921875,,,125558492624.0,17736133132.0,143294625756.0,606039214.0,1678.0,103600514731.95023,0.02681923488305349,5.410035334552673,3.150615751530854e-08
Banco de Bogota,BANCOBOGOTA,2017-12-31,2569631636.618424,0.19565627383196726,609478434.215,std+0.5*ltd,False,66892.67388841201,38414.24609375,256212997.15,706530874.13,131194904889.0,18210220853.0,149405125742.0,77929965.08,1165.0,3149385456.842355,0.15963893846311963,10.521347579773963,3.4440636877441175e-26
Banco de Bogota,BANCOBOGOTA,2018-03-31,13886710223.096579,0.1408872421940408,95181854855.25,proxy_0.75_total,True,356014.0439978273,39006.07421875,,,126909139807.0,16825469434.0,143734609241.0,655421855.0,1841.0,104426491239.96652,0.018735287217340777,7.606959010111712,1.4031013091097121e-14
Banco de Bogota,BANCOBOGOTA,2018-06-30,7243171262.599909,0.1409957212817104,96028555848.0,proxy_0.75_total,True,182717.45777233783,39641.375,,,128038074464.0,17558717315.0,145596791779.0,298560326.0,1634.0,98588359177.52762,0.01035879048051044,7.3612780802933,9.1078824367485e-14
Banco de Bogota,BANCOBOGOTA,2018-09-30,49760813937.51428,0.12672675362316052,97635018477.0,proxy_0.75_total,True,1240556.8445678034,40111.67578125,,,130180024636.0,18501048266.0,148681072902.0,3128684362.0,2522.0,142634116374.50757,0.04421120674516518,9.682368245612661,1.7915895249412843e-22
Banco de Bogota,BANCOBOGOTA,2018-12-31,33986503829.323814,0.17484854801900987,107726050608.0,proxy_0.75_total,True,1023792.9860578598,33196.65625,37062091.0,,143634734144.0,19667774788.0,163302508932.0,2937262077.0,2869.0,136458692952.88849,0.04354790976177877,6.555591492171016,2.77108783951249e-11
Banco de Bogota,BANCOBOGOTA,2019-03-31,13250761683.471067,0.21229844028651862,105985705168.5,proxy_0.75_total,True,331299.0660646388,39996.375,,,141314273558.0,19110664155.0,160424937713.0,697053235.0,2104.0,114067482880.15779,0.024661864149903432,4.994833144395166,2.944332872415213e-07
Banco de Bogota,BANCOBOGOTA,2019-06-30,26872055090.008736,0.2222307175322345,107401847590.5,proxy_0.75_total,True,650341.3203661328,41319.92578125,,,143202463454.0,20180496521.0,163382959975.0,1420995785.0,2185.0,129035852541.69194,0.04628013968261926,5.0224995762470686,2.5501654910524166e-07
Banco de Bogota,BANCOBOGOTA,2019-09-30,52915843894.36712,0.2405958969719333,113960880026.25,proxy_0.75_total,True,1056775.2244680852,50072.94140625,,,151947840035.0,21313491038.0,173261331073.0,1986737422.0,1880.0,161318785760.579,0.07892036449875077,4.997607420824288,2.9023002427692885e-07
Banco de Bogota,BANCOBOGOTA,2019-12-31,114833253943.15628,0.21840603846809734,114869683742.25,proxy_0.75_total,True,2140969.276937185,53636.10546875,58700943.0,,153159578323.0,21860001562.0,175019579885.0,4669453993.0,2181.0,224100677101.69614,0.11191521776589652,6.362267862094398,9.9398178253937e-11
Banco de Bogota,BANCOBOGOTA,2020-03-31,15006784275.526957,0.3697633012622524,139197681144.0,proxy_0.75_total,True,331286.81793721975,45298.46484375,44108701.0,,185596908192.0,21773915109.0,207370823301.0,738769604.0,2230.0,147412276020.29037,0.03772123598704548,2.8267028394355376,0.0023514974079739187
Banco de Bogota,BANCOBOGOTA,2020-06-30,37740994070.70648,0.40087739568484815,146621842010.25,proxy_0.75_total,True,962078.4022203245,39228.60546875,41954014.0,,195495789347.0,22514454762.0,218010244109.0,1126593809.0,1171.0,177201704602.15714,0.0855727218361264,2.75520678179791,0.0029327526199750126
Banco de Bogota,BANCOBOGOTA,2020-09-30,46948847605.94452,0.40567333617418005,147468095985.75,proxy_0.75_total,True,1034421.3982521847,45386.578125,46820196.0,,196624127981.0,23250144926.0,219874272907.0,1657143080.0,1602.0,187213550337.85086,0.10193457046696645,2.7806343039300128,0.002712640674370494
Banco de Bogota,BANCOBOGOTA,2020-12-31,122946921147.14285,0.40821217141772165,139327337716.5,proxy_0.75_total,True,2438209.4519289653,50425.0859375,47627416.0,,185769783622.0,22498600501.0,208268384123.0,3981596035.0,1633.0,255475247726.91812,0.19650881074793164,3.2415419756826767,0.0005944246234430363
Banco de Bogota,BANCOBOGOTA,2021-03-31,30211759078.390198,0.27408025978940903,146587007438.25,proxy_0.75_total,True,573881.8530097994,52644.5625,70848131.0,,195449343251.0,22282588641.0,217731931892.0,1229828811.0,2143.0,169649584276.7308,0.048810410840193,3.9935056825050905,3.255175885955771e-05
Banco de Bogota,BANCOBOGOTA,2021-06-30,20605300390.171,0.2424361194212344,148417230224.25,proxy_0.75_total,True,432307.6780506523,47663.5078125,80700907.0,,197889640299.0,23532840049.0,221422480348.0,1126593809.0,2606.0,161784131920.28775,0.030877520626553273,4.396686767858072,5.4957892638485784e-06
Banco de Bogota,BANCOBOGOTA,2021-09-30,13611422618.46181,0.22572919137106096,149880418949.25,proxy_0.75_total,True,272825.663483701,49890.55078125,89882493.0,,199840558599.0,24544378385.0,224384936984.0,1657143080.0,6074.0,156182086236.55493,0.019672554775540318,4.625290066457101,1.8703726100010455e-06
Banco de Bogota,BANCOBOGOTA,2021-12-31,91882632715.57939,0.19694519721585757,155246943318.0,proxy_0.75_total,True,1872779.8594153053,49062.1640625,111255750.0,,206995924424.0,25338970395.0,232334894819.0,4356085953.0,2326.0,239558093263.29547,0.0755384340200882,6.366638320227852,9.660802922373032e-11
Bancolombia,BANCOLOMBIA,2017-03-31,8450626562.621921,0.30776568249239555,131018687510.25,proxy_0.75_total,True,612274.4114021572,13802.024721675552,,,174691583347.0,22050368575.0,196741951922.0,397366093.0,649.0,133079198199.816,0.019550818920970985,3.3458109049193037,0.0004102116247131183
Bancolombia,BANCOLOMBIA,2017-06-30,30186909635.599823,0.29391389044861777,135465941684.25,proxy_0.75_total,True,1818865.7766570605,16596.557053858647,,,180621255579.0,23083111158.0,203704366737.0,1262292849.0,694.0,159045946774.13797,0.05578886302313483,3.744773922902899,9.027814379061511e-05
Bancolombia,BANCOLOMBIA,2017-09-30,58340115069.12444,0.28337569368712895,135548359057.5,proxy_0.75_total,True,3539460.140495868,16482.772161110188,,,180731145410.0,23361731059.0,204092876469.0,1713098708.0,484.0,187277667894.6864,0.08827710517912302,4.184182027022245,1.4309736289953845e-05
Bancolombia,BANCOLOMBIA,2017-12-31,43903395127.18144,0.26860291784996854,2185516097.0,std+0.5*ltd,False,2986427.4186778595,14700.975102424622,1992599362.0,385833470.0,179478662657.0,24429548810.0,203908211467.0,2846065330.0,953.0,45982322346.3678,0.25645899191110644,11.94545527555211,3.4286908049132245e-33
Bancolombia,BANCOLOMBIA,2018-03-31,13759967378.562355,0.2758462307735173,133316946204.0,proxy_0.75_total,True,935053.5913978495,14715.699191093445,,,177755928272.0,23189643016.0,200945571288.0,521759904.0,558.0,140574911783.23856,0.027002542004790044,3.80136842537117,7.194957339389824e-05
Bancolombia,BANCOLOMBIA,2018-06-30,31418414675.02658,0.2822053766331914,135396108703.5,proxy_0.75_total,True,1767422.607936508,17776.40193915367,,,180528144938.0,24025200763.0,204553345701.0,1113476243.0,630.0,160211104615.72498,0.055344239319153804,3.916509448630798,4.492014813990428e-05
Bancolombia,BANCOLOMBIA,2018-09-30,41682054125.20536,0.2944971228429621,136341236542.5,proxy_0.75_total,True,2629674.577777778,15850.65105676651,,,181788315390.0,24867012573.0,206655327963.0,1656694984.0,630.0,171373726894.77567,0.07163160056903553,3.8547279182488596,5.792920284093136e-05
Bancolombia,BANCOLOMBIA,2018-12-31,8511209.536042912,0.29472941814354275,2371997544.0,std+0.5*ltd,False,535.8713339640492,15882.93494462967,2210837638.0,322319812.0,193458395998.0,26655223689.0,220113619687.0,566416.0,1057.0,2264824849.568751,0.0011079680156723432,3.397541503571924,0.00033997136561633495
Bancolombia,BANCOLOMBIA,2019-03-31,19767064555.53719,0.3034226982356767,148484223237.75,proxy_0.75_total,True,944816.7675736961,20921.585257530212,,,197978964317.0,26186769995.0,224165734312.0,833328389.0,882.0,161009317930.16272,0.03725873286669913,3.496882751099753,0.00023536433800156682
Bancolombia,BANCOLOMBIA,2019-06-30,38026777476.036606,0.30433458072393427,152792257003.5,proxy_0.75_total,True,1791009.225708502,21232.038858422777,,,203723009338.0,27222174845.0,230945184183.0,1769517115.0,988.0,183366980558.93045,0.06311957423192979,3.650504049351844,0.00013086309143411394
Bancolombia,BANCOLOMBIA,2019-09-30,62846808231.6457,0.31020208411338057,155934538387.5,proxy_0.75_total,True,2853554.3329741377,22024.04471694189,,,207912717850.0,28942513190.0,236855231040.0,2648098421.0,928.0,211176081040.01013,0.09232229772410333,3.7801734205165607,7.835958077653572e-05
Bancolombia,BANCOLOMBIA,2019-12-31,11342594313.58909,0.29112096351165456,13451422036.0,std+0.5*ltd,False,478712.87475149106,23693.94038018561,13173824980.0,555194112.0,207282495900.0,28805619059.0,236088114962.0,240792576.0,503.0,24137981922.393326,0.13679980063470815,4.571239794189545,2.4242353607050206e-06
Bancolombia,BANCOLOMBIA,2020-03-31,12607484527.514368,0.6334279176243403,184858936897.5,proxy_0.75_total,True,920231.2465753425,13700.34388033807,,,246478582530.0,29283438353.0,275762020883.0,335884405.0,365.0,188208546198.01913,0.04533470219083556,1.4763522091851329,0.06992468259329891
Bancolombia,BANCOLOMBIA,2020-06-30,57065093791.30296,0.6804930460851785,179254300602.0,proxy_0.75_total,True,4235286.29032258,13473.727601766586,,,239005734136.0,28508545052.0,267514279188.0,262587750.0,-62.0,226730307286.69412,0.17970134506512345,1.4958679320750585,0.06734403720965684
Bancolombia,BANCOLOMBIA,2020-09-30,24431919559.808464,0.6852577734665104,177130773442.5,proxy_0.75_total,True,1777791.262295082,13742.850512307894,,,236174364590.0,29439840852.0,265614205442.0,542226335.0,305.0,192316435547.2285,0.09388539956004371,1.3617302679768868,0.08664151265743736
Bancolombia,BANCOLOMBIA,2020-12-31,15596747175.852818,0.7063624688566374,2666149290.0,std+0.5*ltd,False,813311.8199233717,19176.83573973179,2469252233.0,393794114.0,227453292697.0,28115211256.0,255568503953.0,212274385.0,-261.0,18132227739.849686,0.6077110785939693,2.932971539319204,0.001678673334484171
Bancolombia,BANCOLOMBIA,2021-03-31,9654721897.925856,0.435891151965845,171089299392.75,proxy_0.75_total,True,580111.2348877374,16642.8803948164,,,228119065857.0,29206101687.0,257325167544.0,335884405.0,579.0,172386270792.10342,0.024645552608488767,2.322868539187514,0.010093107845596567
Bancolombia,BANCOLOMBIA,2021-06-30,21214887686.027145,0.36111156346388906,176166747096.0,proxy_0.75_total,True,1395263.5935960591,15204.931730031967,,,234888996128.0,30595010806.0,265484006934.0,1699431057.0,1218.0,188786381303.95117,0.04064395366580476,2.912098081784516,0.0017950494314430772
Bancolombia,BANCOLOMBIA,2021-09-30,10161518424.35456,0.3439830662187183,178411404138.75,proxy_0.75_total,True,544951.0904522613,18646.661328673363,,,237881872185.0,31869348680.0,269751220865.0,542226335.0,995.0,179870340255.1647,0.019459298623112756,2.9782566028919604,0.0014494658670664879
Bancolombia,BANCOLOMBIA,2021-12-31,48735615052.68279,0.31679126542399716,3390399108.5,std+0.5*ltd,False,2693997.8991430453,18090.44285750389,3220151497.0,340495223.0,255929590555.0,33925457750.0,289855048305.0,4086794813.0,1517.0,51960662445.48898,0.29712895173253395,9.206092076696823,1.691071644973878e-20
Cementos Argos,CEMARGOS,2017-03-31,8730765015.529566,0.1681447020147484,7511925240.5,std+0.5*ltd,False,1138600.175,7667.9814453125,4962332143.0,5099186195.0,10061518338.0,8431981046.0,18493499384.0,-45544007.0,-40.0,15876329338.942768,0.0924667062868304,8.587549782121924,4.442181546226028e-18
Cementos Argos,CEMARGOS,2017-06-30,13813821767.471584,0.15763596702126087,7281527873.5,std+0.5*ltd,False,1778902.975609756,7765.35986328125,4234942409.0,6093170929.0,10328113338.0,8872876626.0,19200989964.0,72935022.0,41.0,20740225336.0669,0.10499187531911694,10.393401435756497,1.32852421576712e-25
Cementos Argos,CEMARGOS,2017-09-30,51370985162.93909,0.1516250783468129,7061579915.5,std+0.5*ltd,False,6663902.762711864,7708.84375,4111258007.0,5900643817.0,10011901824.0,8784540899.0,18796442723.0,393170263.0,59.0,58088167762.025955,0.13409150176665754,16.021171259022942,4.546068787762383e-58
Cementos Argos,CEMARGOS,2017-12-31,40876744796.05434,0.1467986418838501,6839489865.5,std+0.5*ltd,False,5374599.842857143,7605.5419921875,3675405352.0,6328169027.0,10003574379.0,8779341431.0,18782915810.0,376221989.0,-70.0,47382668804.69237,0.12664230977422827,15.61503610629625,2.87562767598595e-55
Cementos Argos,CEMARGOS,2018-03-31,7214359971.093485,0.18685280713250255,7048563049.5,std+0.5*ltd,False,1142414.5208333333,6315.0107421875,4369057951.0,5359010197.0,9728068148.0,7956002319.0,17684070467.0,54835897.0,48.0,13919160544.226366,0.09684660278039224,7.493839959302056,3.344363780770955e-14
Cementos Argos,CEMARGOS,2018-06-30,309062702.86637014,0.19440012248279778,7177213450.0,std+0.5*ltd,False,47605.02173913043,6492.22900390625,4249104116.0,5856218668.0,10105322784.0,8299869191.0,18405191975.0,2189831.0,46.0,7136239321.668389,0.008419256816152005,5.25453518327742,7.419938825903343e-08
Cementos Argos,CEMARGOS,2018-09-30,10243219793.606873,0.22385976093032023,7048178584.0,std+0.5*ltd,False,1982126.578125,5167.79296875,4251316072.0,5593725024.0,9845041096.0,8404070756.0,18249111852.0,126856101.0,64.0,16947654651.842724,0.13530159666720332,6.786372006333881,5.749421196073968e-12
Cementos Argos,CEMARGOS,2018-12-31,1247085.859375,0.2237320316330516,6482955716.0,std+0.5*ltd,False,265.0,4705.984375,3091570564.0,6782770304.0,9874340868.0,8995678177.0,18870019045.0,11925.0,45.0,6168025320.429543,4.523557040464843e-05,4.470043692564896,3.910180987011763e-06
Cementos Argos,CEMARGOS,2019-03-31,6366693288.175218,0.21095348868806912,7591925214.5,std+0.5*ltd,False,1185347.7692307692,5371.16064453125,4103372461.0,6977105507.0,11080477968.0,8557602566.0,19638080534.0,15409521.0,13.0,13588355940.80481,0.09884022515130139,6.346033090068553,1.1046886637876375e-10
Cementos Argos,CEMARGOS,2019-06-30,6022452992.914975,0.20319066214924095,7339161329.0,std+0.5*ltd,False,1159825.7540983607,5192.5498046875,3706892871.0,7264536916.0,10971429787.0,8616731773.0,19588161560.0,70749371.0,61.0,13003679200.21504,0.09410461397647817,6.562695406687882,2.6421860971278072e-11
